Rooms,Price,Area,Location,Price_m2
3,410000,79.0,Lisboa,5189.87
3,490000,143.0,Ilha da Madeira,3426.57
3,255000,96.0,Lisboa,2656.25
1,147500,69.0,Lisboa,2137.68
3,4500000,350.0,Lisboa,12857.14
3,575000,114.2,Lisboa,5035.03
1,194900,68.38,Porto,2850.25
1,219000,70.0,Faro,3128.57
3,240000,117.0,Braga,2051.28
2,429900,75.0,Lisboa,5732.0
3,279500,136.91,Viana do Castelo,2041.49
2,130000,85.0,Braga,1529.41
2,345000,83.0,Porto,4156.63
4,850000,145.1,Porto,5858.03
4,2600000,259.0,Lisboa,10038.61
2,268000,95.12,Ilha da Madeira,2817.49
3,645000,149.0,Setúbal,4328.86
2,350000,83.0,Leiria,4216.87
2,233000,83.0,Porto,2807.23
4,160000,93.0,Setúbal,1720.43
3,347500,128.9,Porto,2695.89
1,195000,55.6,Aveiro,3507.19
3,750000,151.0,Porto,4966.89
5,650000,269.3,Braga,2413.67
3,150000,122.0,Porto,1229.51
2,220000,93.04,Aveiro,2364.57
1,350000,52.9,Ilha da Madeira,6616.26
2,330000,79.75,Faro,4137.93
3,850000,166.74,Porto,5097.76
3,1080000,136.0,Lisboa,7941.18
1,795000,85.0,Lisboa,9352.94
2,420000,80.0,Lisboa,5250.0
3,640000,117.0,Faro,5470.09
3,265000,127.97,Faro,2070.8
2,215000,70.0,Setúbal,3071.43
0,230000,32.0,Porto,7187.5
4,510000,158.0,Coimbra,3227.85
3,545000,88.62,Porto,6149.85
2,273000,91.0,Setúbal,3000.0
3,305000,159.0,Porto,1918.24
2,300000,75.0,Faro,4000.0
3,1165000,145.68,Faro,7996.98
4,555000,141.0,Lisboa,3936.17
2,325000,67.0,Faro,4850.75
3,765000,137.22,Lisboa,5574.99
4,189000,73.55,Setúbal,2569.68
3,550000,154.0,Porto,3571.43
2,369000,101.0,Leiria,3653.47
1,620000,65.21,Lisboa,9507.74
1,720000,173.0,Faro,4161.85
3,397500,108.35,Porto,3668.67
1,210000,66.0,Leiria,3181.82
2,269900,100.0,Braga,2699.0
3,148000,98.0,Viseu,1510.2
1,240000,38.0,Lisboa,6315.79
3,790000,115.0,Setúbal,6869.57
0,99500,62.0,Coimbra,1604.84
3,400000,148.0,Porto,2702.7
3,499000,100.0,Lisboa,4990.0
1,235000,50.0,Lisboa,4700.0
2,275000,108.0,Porto,2546.3
3,580000,135.0,Aveiro,4296.3
3,340000,97.0,Lisboa,3505.15
2,392000,130.35,Porto,3007.29
2,249000,76.0,Porto,3276.32
2,299900,51.0,Lisboa,5880.39
2,355000,96.0,Setúbal,3697.92
3,884000,154.0,Porto,5740.26
2,495000,90.93,Lisboa,5443.75
2,413400,100.0,Faro,4134.0
1,480000,201.0,Faro,2388.06
2,382000,108.8,Setúbal,3511.03
3,450000,97.0,Lisboa,4639.18
1,450000,80.0,Lisboa,5625.0
2,180000,68.76,Aveiro,2617.8
3,1580000,155.0,Lisboa,10193.55
2,149500,70.0,Coimbra,2135.71
2,315000,86.0,Faro,3662.79
2,790000,148.06,Lisboa,5335.67
3,249995,148.0,Porto,1689.16
1,204900,70.0,Porto,2927.14
1,275000,67.0,Porto,4104.48
2,275000,57.5,Viana do Castelo,4782.61
1,425000,88.5,Porto,4802.26
1,590000,56.0,Lisboa,10535.71
1,254540,59.9,Porto,4249.42
4,925000,177.0,Lisboa,5225.99
3,265000,96.0,Lisboa,2760.42
3,690000,135.0,Setúbal,5111.11
0,169000,57.48,Porto,2940.15
3,117000,73.44,Santarém,1593.14
3,467500,132.0,Porto,3541.67
1,200000,68.0,Faro,2941.18
2,425000,80.0,Faro,5312.5
1,235000,36.0,Lisboa,6527.78
3,174900,110.0,Porto,1590.0
3,427000,123.27,Porto,3463.94
1,175000,43.0,Faro,4069.77
4,305000,95.0,Lisboa,3210.53
2,790000,111.0,Lisboa,7117.12
2,1100000,107.85,Lisboa,10199.35
2,308900,128.0,Porto,2413.28
2,159000,63.0,Setúbal,2523.81
2,815000,112.0,Lisboa,7276.79
1,300000,61.6,Ilha da Madeira,4870.13
2,405000,88.7,Lisboa,4565.95
3,150000,112.0,Coimbra,1339.29
3,1590000,129.9,Lisboa,12240.18
5,450000,121.0,Lisboa,3719.01
3,450000,253.5,Faro,1775.15
2,345000,89.11,Aveiro,3871.62
2,365000,144.0,Braga,2534.72
2,728000,132.0,Lisboa,5515.15
3,255000,113.17,Braga,2253.25
2,411400,97.76,Porto,4208.27
2,270000,84.6,Viana do Castelo,3191.49
2,218000,76.0,Coimbra,2868.42
1,155000,61.0,Aveiro,2540.98
4,350000,151.0,Porto,2317.88
1,175000,43.0,Faro,4069.77
4,950000,188.09,Porto,5050.77
1,176000,45.97,Faro,3828.58
2,225000,82.0,Viana do Castelo,2743.9
3,665800,148.22,Porto,4491.97
2,275000,63.0,Lisboa,4365.08
2,299500,72.0,Leiria,4159.72
3,215000,127.6,Apartamento para comprar: Castelo Branco,1684.95
1,240000,59.0,Porto,4067.8
2,1155000,112.65,Lisboa,10253.0
0,179500,37.0,Braga,4851.35
3,295000,117.0,Braga,2521.37
3,447000,128.05,Porto,3490.82
2,235000,73.0,Braga,3219.18
2,480000,116.0,Porto,4137.93
2,500000,115.0,Lisboa,4347.83
3,410000,148.02,Porto,2769.9
3,498000,120.0,Lisboa,4150.0
4,500000,184.0,Porto,2717.39
3,450000,125.0,Setúbal,3600.0
2,190000,89.0,Lisboa,2134.83
3,235000,145.0,Braga,1620.69
3,249000,138.0,Porto,1804.35
1,225000,75.0,Porto,3000.0
1,550000,49.0,Lisboa,11224.49
4,270000,160.0,Setúbal,1687.5
1,550000,68.3,Faro,8052.71
3,395000,126.54,Coimbra,3121.54
3,1290000,195.0,Lisboa,6615.38
