,Rooms,Price,Area,Location,Price_m2
7430,2,388600,134.0,Aveiro,2900.0
8209,2,300900,108.0,Porto,2786.11
2508,4,825000,145.0,Porto,5689.66
7102,2,725000,133.0,Ilha da Madeira,5451.13
1236,5,690000,230.0,Porto,3000.0
5725,4,1695000,203.0,Lisboa,8349.75
4798,3,280000,118.0,Lisboa,2372.88
14210,2,440000,96.0,Porto,4583.33
12520,1,255000,63.75,Porto,4000.0
2168,4,750000,236.1,Porto,3176.62
13506,3,347500,128.9,Porto,2695.89
6107,3,250000,129.48,Castelo Branco,1930.8
12178,2,390000,91.0,Setúbal,4285.71
1971,3,765000,120.0,Faro,6375.0
8872,3,1950000,175.01,Porto,11142.22
12354,2,474300,73.71,Lisboa,6434.68
11278,2,440000,94.5,Porto,4656.08
2809,2,225000,84.6,Porto,2659.57
8792,2,279000,68.0,Aveiro,4102.94
8122,1,175000,43.0,Faro,4069.77
12647,2,455000,117.0,Ilha da Madeira,3888.89
15497,2,187500,78.25,Setúbal,2396.17
2616,2,285000,65.0,Lisboa,4384.62
13883,2,550000,116.0,Ilha da Madeira,4741.38
11686,2,378000,93.6,Setúbal,4038.46
3796,2,495000,152.2,Setúbal,3252.3
13603,3,340000,94.0,Porto,3617.02
4701,2,155000,82.0,Braga,1890.24
13643,2,260000,74.0,Lisboa,3513.51
1012,2,417000,84.0,Lisboa,4964.29
2883,3,330000,155.0,Porto,2129.03
9414,3,590000,84.5,Setúbal,6982.25
13222,3,590000,129.0,Lisboa,4573.64
12385,2,825000,86.0,Lisboa,9593.02
4607,0,249000,46.0,Faro,5413.04
13818,5,450000,121.0,Lisboa,3719.01
14741,2,330000,109.0,Viseu,3027.52
5334,2,285000,84.09,Lisboa,3389.23
11757,2,790000,110.0,Lisboa,7181.82
501,2,273252,80.0,Faro,3415.65
6247,3,495000,193.5,Lisboa,2558.14
1,2,149000,86.0,Porto,1732.56
8515,3,236000,102.0,Porto,2313.73
12273,2,770000,99.43,Lisboa,7744.14
2584,2,225000,83.0,Porto,2710.84
9017,5,1090000,218.0,Lisboa,5000.0
1274,2,199950,74.0,Lisboa,2702.03
9721,3,789000,123.0,Lisboa,6414.63
13439,3,380100,120.0,Porto,3167.5
2462,2,159900,70.2,Porto,2277.78
4657,1,229000,59.0,Setúbal,3881.36
6023,2,349900,107.0,Lisboa,3270.09
12663,1,409206,132.0,Faro,3100.05
834,2,441000,107.34,Faro,4108.44
14877,3,302500,135.0,Braga,2240.74
162,2,345000,104.0,Porto,3317.31
10489,2,425000,116.0,Porto,3663.79
1180,1,152500,61.0,Setúbal,2500.0
15294,3,465000,131.0,Faro,3549.62
14221,2,165000,61.0,Setúbal,2704.92
3673,3,214900,52.0,Lisboa,4132.69
14568,2,260000,100.0,Porto,2600.0
8088,2,300000,120.0,Porto,2500.0
15723,2,810000,115.85,Lisboa,6991.8
10451,2,189000,81.0,Lisboa,2333.33
15389,3,320000,120.0,Faro,2666.67
6861,3,270000,100.0,Leiria,2700.0
9484,2,470000,129.0,Ilha da Madeira,3643.41
208,3,219500,120.0,Porto,1829.17
7961,3,805000,156.86,Porto,5131.96
6283,2,421200,107.44,Porto,3920.33
6014,1,287000,55.0,Lisboa,5218.18
857,1,178000,55.0,Lisboa,3236.36
6613,1,620000,74.0,Lisboa,8378.38
8415,2,182000,68.76,Aveiro,2646.89
754,2,314900,98.0,Lisboa,3213.27
10335,2,150000,100.0,Braga,1500.0
9368,3,612500,124.5,Setúbal,4919.68
14766,4,225000,105.0,Lisboa,2142.86
10595,1,655000,88.1,Lisboa,7434.73
474,4,1500000,300.0,Lisboa,5000.0
7318,2,156000,93.0,Aveiro,1677.42
4016,3,350000,72.0,Ilha da Madeira,4861.11
2186,3,599500,170.0,Aveiro,3526.47
11159,3,455000,106.0,Lisboa,4292.45
7409,2,200000,101.5,Porto,1970.44
8635,2,755000,127.37,Faro,5927.61
