,Index,Type,Price,Area,Location,Price_m2
732,761,T4,1150000,156.0,Lisboa,7371.79
733,762,T5,199900,241.0,Braga,829.46
734,763,T4,1250000,218.0,Porto,5733.94
735,764,T3,365000,165.0,Porto,2212.12
736,765,T2,420000,89.0,Porto,4719.1
737,767,T2,159900,82.0,Porto,1950.0
738,768,T4,150000,116.0,Porto,1293.1
739,769,T2,310000,93.7,Faro,3308.43
740,770,T1,250000,60.0,Braga,4166.67
741,771,T2,280000,77.55,Faro,3610.57
742,772,T1,175000,53.0,Lisboa,3301.89
743,773,T3,525010,134.0,Porto,3917.99
744,774,T2,260000,93.7,Faro,2774.81
745,775,T2,500000,99.0,Faro,5050.51
746,776,T2,490000,95.0,Faro,5157.89
747,777,T2,298000,126.6,Faro,2353.87
748,778,T3,220000,138.0,Leiria,1594.2
749,779,T3,310000,89.0,Lisboa,3483.15
750,780,T2,357500,74.0,Lisboa,4831.08
751,781,T3,320000,96.0,Lisboa,3333.33
752,782,T2,340000,93.0,Lisboa,3655.91
753,783,T2,178000,89.0,Porto,2000.0
754,784,T2,314900,98.0,Lisboa,3213.27
755,785,T2,188500,96.0,Porto,1963.54
756,786,T3,290000,97.0,Lisboa,2989.69
757,787,T2,260000,85.5,Porto,3040.94
758,788,T2,255000,92.45,Porto,2758.25
759,789,T2,240000,74.8,Porto,3208.56
760,790,T2,250000,89.15,Porto,2804.26
761,791,T2,245000,91.2,Porto,2686.4
762,792,T3,245000,103.57,Porto,2365.55
763,793,T2,265000,85.5,Porto,3099.42
764,794,T2,250000,92.45,Porto,2704.16
765,795,T2,370000,110.0,Lisboa,3363.64
766,796,T2,240000,91.2,Porto,2631.58
767,798,T2,249000,85.0,Porto,2929.41
768,799,T2,245000,89.15,Porto,2748.18
769,800,T2,250000,91.2,Porto,2741.23
770,801,T2,255000,89.15,Porto,2860.35
771,802,T2,230000,71.8,Porto,3203.34
772,803,T2,240000,92.45,Porto,2596.0
773,804,T3,374900,143.0,Braga,2621.68
774,805,T3,315000,100.0,Lisboa,3150.0
775,806,T2,275000,108.0,Porto,2546.3
776,807,T2,255000,85.5,Porto,2982.46
777,808,T2,235000,91.2,Porto,2576.75
778,809,T2,245000,92.45,Porto,2650.08
779,810,T2,235000,74.8,Porto,3141.71
780,811,T1,165000,58.0,Porto,2844.83
781,812,T2,190000,79.0,Faro,2405.06
782,813,T1,175000,62.15,Porto,2815.77
783,814,T0,130000,36.6,Porto,3551.91
784,815,T2,249000,80.0,Porto,3112.5
785,816,T3,1150000,150.0,Lisboa,7666.67
786,817,T2,225000,86.4,Porto,2604.17
787,818,T2,225000,71.8,Porto,3133.7
788,819,T2,220000,71.8,Porto,3064.07
789,820,T3,218000,76.0,Porto,2868.42
790,821,T2,385400,97.0,Porto,3973.2
791,822,T2,270000,90.0,Porto,3000.0
792,823,T2,307500,99.5,Faro,3090.45
793,824,T2,230000,87.2,Porto,2637.61
794,825,T2,230000,74.8,Porto,3074.87
795,826,T3,399000,150.0,Braga,2660.0
796,827,T1,175000,43.0,Faro,4069.77
797,828,T3,200000,100.0,Braga,2000.0
798,829,T2,210000,90.0,Setúbal,2333.33
799,830,T3,348500,103.5,Faro,3367.15
800,831,T1,160000,72.3,Aveiro,2213.0
801,832,T2,220000,109.0,Porto,2018.35
802,833,T3,269900,108.0,Setúbal,2499.07
803,834,T2,195000,77.0,Porto,2532.47
804,835,T3,500000,127.0,Lisboa,3937.01
805,837,T4,259900,150.0,Braga,1732.67
806,838,T1,194900,68.38,Porto,2850.25
807,839,T2,270000,90.0,Lisboa,3000.0
808,840,T4,620500,160.0,Porto,3878.12
809,841,T4,620500,150.0,Porto,4136.67
810,842,T3,550000,135.0,Porto,4074.07
811,843,T4,299000,190.0,Coimbra,1573.68
812,844,T2,270000,97.0,Ilha de São Miguel,2783.51
813,845,T2,280000,88.0,Lisboa,3181.82
814,846,T3,167000,85.0,Setúbal,1964.71
815,847,T1,330000,58.0,Lisboa,5689.66
816,848,T3,698000,287.85,Setúbal,2424.87
817,849,T2,170000,101.0,Braga,1683.17
818,850,T2,235000,111.0,Setúbal,2117.12
819,851,T3,760000,198.0,Porto,3838.38
820,852,T2,315000,117.4,Porto,2683.13
821,853,T1,170000,38.0,Lisboa,4473.68
822,854,T2,160000,69.0,Coimbra,2318.84
823,855,T3,565000,103.4,Porto,5464.22
824,856,T3,169000,102.0,Leiria,1656.86
825,857,T2,380000,129.0,Ilha de São Miguel,2945.74
826,858,T2,185000,94.0,Lisboa,1968.09
827,859,T4,445000,115.0,Braga,3869.57
828,860,T3,440000,119.0,Lisboa,3697.48
829,861,T2,539000,106.0,Lisboa,5084.91
830,862,T0,230000,56.8,Porto,4049.3
831,863,T3,445000,126.0,Lisboa,3531.75
832,864,T3,605000,130.8,Faro,4625.38
833,865,T3,425000,133.0,Porto,3195.49
834,866,T2,441000,107.34,Faro,4108.44
835,867,T3,587500,122.15,Faro,4809.66
836,868,T2,369000,99.1,Faro,3723.51
837,869,T2,320000,111.0,Faro,2882.88
838,870,T2,170000,85.0,Lisboa,2000.0
839,871,T4,515000,148.0,Lisboa,3479.73
840,872,T2,280000,77.0,Faro,3636.36
841,873,T2,260000,66.0,Faro,3939.39
842,874,T2,320000,112.0,Faro,2857.14
843,875,T2,331500,117.5,Porto,2821.28
844,876,T3,219900,116.0,Braga,1895.69
845,877,T2,470000,130.74,Porto,3594.92
846,878,T2,185000,85.0,Lisboa,2176.47
847,879,T3,485000,131.0,Aveiro,3702.29
848,880,T0,189510,34.0,Porto,5573.82
849,881,T4,395000,169.0,Setúbal,2337.28
850,882,T3,145000,117.6,Viana do Castelo,1232.99
851,883,T2,349000,119.0,Braga,2932.77
852,884,T3,180000,95.0,Setúbal,1894.74
853,885,T2,325000,94.0,Faro,3457.45
854,886,T2,204990,104.0,Porto,1971.06
855,887,T2,242619,69.67,Porto,3482.4
856,888,T2,154900,76.0,Setúbal,2038.16
857,889,T1,178000,55.0,Lisboa,3236.36
858,890,T2,185000,93.0,Lisboa,1989.25
859,891,T3,650000,102.0,Lisboa,6372.55
